scrape_time_utc,river_level,measurement_time
2025-12-27T05:59:00.448746Z,0.66m,2025-12-27T05:15:00Z
2025-12-27T06:58:59.302637Z,0.67m,2025-12-27T06:15:00Z
2025-12-27T07:34:50.558112Z,0.67m,2025-12-27T06:45:00Z
2025-12-27T08:54:40.020904Z,0.67m,2025-12-27T08:00:00Z
2025-12-27T09:36:03.217389Z,0.66m,2025-12-27T08:45:00Z
2025-12-27T09:58:47.685941Z,0.66m,2025-12-27T09:15:00Z
2025-12-27T10:44:58.045405Z,0.67m,2025-12-27T10:15:00Z
2025-12-27T11:30:38.865817Z,0.66m,2025-12-27T10:45:00Z
2025-12-27T11:44:48.807205Z,0.67m,2025-12-27T11:15:00Z
2025-12-27T13:42:48.183074Z,0.66m,2025-12-27T13:00:00Z
2025-12-27T14:46:27.204034Z,0.67m,2025-12-27T14:15:00Z
2025-12-27T15:42:13.871447Z,0.66m,2025-12-27T15:15:00Z
2025-12-27T17:04:18.024957Z,0.67m,2025-12-27T16:15:00Z
2025-12-27T17:43:43.017509Z,0.67m,2025-12-27T17:00:00Z
2025-12-27T19:26:33.127133Z,0.66m,2025-12-27T18:45:00Z
2025-12-27T19:44:17.526696Z,0.66m,2025-12-27T19:15:00Z
2025-12-27T20:42:54.490030Z,0.66m,2025-12-27T20:15:00Z
2025-12-27T21:33:58.046995Z,0.67m,2025-12-27T20:45:00Z
2025-12-28T04:18:02.666503Z,0.67m,2025-12-28T03:45:00Z
2025-12-28T05:58:58.902057Z,0.66m,2025-12-28T05:15:00Z
2025-12-28T06:59:23.909884Z,0.66m,2025-12-28T06:15:00Z
2025-12-28T07:38:06.435984Z,0.67m,2025-12-28T07:15:00Z
2025-12-28T09:36:42.486933Z,0.67m,2025-12-28T08:45:00Z
2025-12-28T09:49:39.350888Z,0.67m,2025-12-28T09:15:00Z
2025-12-28T10:45:51.209794Z,0.66m,2025-12-28T10:15:00Z
2025-12-28T11:33:36.185479Z,0.66m,2025-12-28T10:45:00Z
2025-12-28T11:45:06.011869Z,0.67m,2025-12-28T11:15:00Z
2025-12-28T13:41:43.073002Z,0.66m,2025-12-28T13:15:00Z
